# SCAN_PARAMETERS
# scan_start: 2025-08-08T23:52:07.557284
# download_threshold: 10000, max_file_size_gb: 5.0, rate_limit_delay: 1.5, max_workers: 4
# target_extensions: .bin,.caffemodel,.coreml,.dlc,.ggjt,.ggmf,.ggml,.gguf,.h5,.keras,.llamafile,.mar,.mlmodel,.onnx,.pb,.pkl,.pt,.pt2,.pth,.ptl,.safetensors,.tflite
# output_format: error log
# END_PARAMETERS
repo_id,filename,error_type,reason,timestamp
meta-llama/Llama-4-Scout-17B-16E-Instruct,model-00015-of-00050.safetensors,hash_extraction_failed,Could not extract hash using any method,2025-08-09T00:01:53.326680
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,model-00001-of-000008.safetensors,file_too_large,File size 8.2GB exceeds limit,2025-08-09T00:01:54.793289
meta-llama/Llama-4-Scout-17B-16E-Instruct,model-00016-of-00050.safetensors,hash_extraction_failed,Could not extract hash using any method,2025-08-09T00:01:54.988678
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,model-00002-of-000008.safetensors,file_too_large,File size 8.2GB exceeds limit,2025-08-09T00:01:56.362078
meta-llama/Llama-4-Scout-17B-16E-Instruct,model-00017-of-00050.safetensors,hash_extraction_failed,Could not extract hash using any method,2025-08-09T00:01:56.676545
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,model-00003-of-000008.safetensors,file_too_large,File size 8.2GB exceeds limit,2025-08-09T00:01:57.903729
meta-llama/Llama-4-Scout-17B-16E-Instruct,model-00018-of-00050.safetensors,hash_extraction_failed,Could not extract hash using any method,2025-08-09T00:01:58.368701
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,model-00004-of-000008.safetensors,file_too_large,File size 8.2GB exceeds limit,2025-08-09T00:01:59.562561
meta-llama/Llama-4-Scout-17B-16E-Instruct,model-00019-of-00050.safetensors,hash_extraction_failed,Could not extract hash using any method,2025-08-09T00:02:00.093809
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,model-00005-of-000008.safetensors,file_too_large,File size 8.2GB exceeds limit,2025-08-09T00:02:01.277296
meta-llama/Llama-4-Scout-17B-16E-Instruct,model-00020-of-00050.safetensors,hash_extraction_failed,Could not extract hash using any method,2025-08-09T00:02:01.790388
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,model-00006-of-000008.safetensors,file_too_large,File size 8.2GB exceeds limit,2025-08-09T00:02:02.844787
